class_id, teach_id, course_id, year_id, period
1,41,1,1,1
2,41,2,1,2
3,41,3,1,3
4,41,4,1,4
5,41,5,2,1
6,55,9,1,1
7,14,10,1,3
8,14,10,1,4
9,14,10,1,1
10,14,10,1,2
11,16,11,1,2
12,16,12,1,1
13,19,30,1,1
14,24,32,1,3
15,24,75,1,4
16,25,84,1,1
17,25,111,1,2
18,26,126,1,3
19,25,62,1,4
20,27,136,1,3
21,28,161,1,4
22,28,163,1,2
23,28,41,1,1
24,34,134,1,1
25,29,106,1,4
26,30,181,1,1
27,30,15,1,2
28,30,64,1,3
29,33,125,1,1
30,29,88,1,3
31,34,33,1,2
32,32,40,1,3
33,33,16,1,3
34,35,69,1,2
35,36,81,1,1
36,38,123,1,4
37,39,127,1,2
38,38,115,1,1
39,39,91,1,3
40,40,118,1,1
41,42,77,1,3
42,42,92,1,4
43,35,85,1,4
44,40,152,1,2
45,40,116,1,3
46,44,176,1,3
47,44,147,1,2
48,43,177,1,3
49,46154,164,1,1
50,43572,171,1,3
51,42,160,1,1
52,51,150,1,4
53,45,63,1,2
54,45,44,1,4
55,35,140,1,1
56,53,50,1,4
57,53,50,1,3
58,53,50,1,2
59,53,50,1,1
60,54,68,1,4
61,54,68,1,3
62,77,183,1,4
63,77,183,1,3
64,53,195,1,4
65,53,195,1,3
66,44,21,1,1
67,48300,112,1,1
68,32,102,1,2
69,56,98,1,3
70,34,96,1,4
71,26,120,1,1
72,29,149,1,1
73,58,142,1,2
74,59,170,1,3
75,59,159,1,4
76,22,172,1,1
77,56,82,1,2
78,46,59,1,4
79,60,138,1,1
80,60,5,5,2
81,43,28,1,2
82,48300,185,1,3
83,58,13,1,4
84,59,25,1,2
85,46,186,1,1
86,22,42,1,4
87,60,67,1,2
88,32,38,1,4
89,52,124,1,1
90,52,89,1,2
91,62,168,1,3
92,62,173,1,4
93,52,184,1,4
94,51,31,1,3
95,63,119,1,3
96,44779,110,1,4
97,51,108,1,2
98,44779,86,1,3
99,39,22,1,4
100,63,132,1,1
101,63,19,1,2
102,48,107,1,2
103,48300,145,1,4
104,58,128,1,1
105,20,45,1,1
106,44762,182,1,4
107,44762,76,1,1
108,46,51,1,2
109,33,60,1,2
110,46154,36,1,3
111,48,29,1,4
112,67,70,1,3
113,46154,135,1,2
114,37,167,1,3
115,68,66,1,2
116,37,191,1,1
117,69,53,1,1
118,62,169,1,1
119,71,37,1,4
120,56,189,1,1
121,43378,73,1,3
122,38,14,1,2
123,71,56,1,1
124,72,17,1,4
125,71,46,1,2
126,74,54,1,3
127,54,61,1,2
128,75,20,1,3
129,75,57,1,4
130,37930,190,1,1
131,36,141,1,2
132,37930,78,1,2
133,76,93,1,4
134,36,83,1,3
135,75,153,1,1
136,54,122,1,1
137,74,105,1,4
138,74,87,1,2
139,76,117,1,3
140,37930,100,1,4
141,72,151,1,1
142,24,146,1,2
143,72,166,1,3
144,37,144,1,4
145,69,196,1,3
146,69,156,1,4
147,41,26,1,3
148,67,133,1,2
149,41,101,1,2
150,78,99,1,2
151,78,121,1,3
152,41,187,1,4
153,48,23,1,3
154,77,157,1,2
155,67,52,1,1
156,78,158,1,4
157,77,139,1,1
158,21,24,1,1
159,21,49,1,2
160,21,193,1,3
161,26,47,1,4
162,16,197,1,4
163,80,129,1,3
164,81,80,1,2
165,43587,55,1,4
166,20,58,1,3
167,80,130,1,1
168,43587,48,1,3
169,27,7,1,1
170,43378,192,1,4
171,27,43,1,2
172,84,113,1,1
173,81,109,1,3
174,84,97,1,2
175,61,90,1,4
176,80,94,1,2
177,44896,154,1,1
178,44896,143,1,4
179,85,162,1,2
180,61,148,1,1
181,61,174,1,3
182,85,165,1,4
183,44896,137,1,2
184,85,18,1,1
185,68,6,1,4
186,68,65,1,3
187,86,155,1,4
188,86,27,1,1
189,50,71,1,4
190,44762,131,1,3
191,87,175,1,4
192,87,39,1,2
193,50,95,1,3
194,87,114,1,1
195,50,188,1,2
196,86,194,1,3
197,66,72,1,2
198,84,8,1,4
199,81,9,1,1
