id, Scomment_id, comment_id
23,23,15
24,24,10
25,25,8
26,26,2
27,27,3
29,29,10
30,30,7
31,31,11
32,32,6
33,33,2
35,35,11
36,36,5
289,47,0
351,48,0
352,49,0
353,50,0
355,52,0
356,53,0
357,54,0
358,55,0
359,56,0
360,57,0
361,58,0
362,59,0
363,60,0
364,61,0
365,62,0
366,63,0
367,64,0
368,65,0
369,66,0
370,67,0
371,68,0
372,69,0
373,70,0
374,71,0
375,72,0
378,75,0
379,76,0
380,77,0
381,78,0
382,79,0
383,80,0
384,81,0
385,82,0
386,83,0
387,84,0
388,85,0
389,86,0
390,87,0
391,88,0
392,89,0
393,90,0
394,91,0
395,92,0
396,93,0
397,94,0
398,95,0
399,96,0
400,97,0
401,98,0
402,99,0
403,100,0
404,101,0
405,102,0
406,103,0
407,104,0
408,105,0
409,106,0
470,10,1
471,10,2
529,45,27
531,47,0
532,48,0
533,49,0
534,50,0
536,52,0
537,53,0
538,54,0
539,55,0
540,56,0
541,57,0
542,58,0
543,59,0
544,60,0
545,61,0
546,62,0
547,63,0
548,64,0
549,65,0
550,66,0
551,67,0
552,68,0
553,69,0
554,70,0
555,71,0
556,72,0
557,51,3
584,40,4
590,43,17
591,44,17
614,3,3
615,3,4
616,3,5
701,73,7
702,73,8
703,73,9
704,73,10
705,73,17
711,74,7
712,74,8
713,74,9
714,74,10
715,74,17
716,42,10
717,42,17
719,3479,3
720,3479,4
721,3479,5
722,223,3
723,223,4
724,223,5
725,227,7
726,227,8
727,227,17
728,1,3
729,1,4
731,8,6
732,39,3
733,39,7
741,3415,7
742,3415,8
743,3896,7
744,3896,8
745,225,17
746,225,30
752,966,4
753,966,6
754,2922,3
755,2922,9
756,951,3
757,958,4
758,958,10
759,1648,4
763,2937,3
764,2937,4
765,987,6
766,987,7
772,3605,8
773,3605,9
774,3605,10
775,4,3
776,4,4
778,3343,4
807,707,17
